Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Name
7,99,Yes,9,1,91.0,Alice
4,82,No,4,2,65.0,Bob
8,51,Yes,7,2,45.0,Charlie
5,52,Yes,5,2,36.0,David
7,75,No,8,5,66.0,Eve
3,78,No,9,6,61.0,Alice
7,73,Yes,5,6,63.0,Bob
8,45,Yes,4,6,42.0,Charlie
5,77,No,8,2,61.0,David
4,89,No,4,0,69.0,Eve
8,91,No,4,5,84.0,Alice
8,79,No,6,2,73.0,Bob
3,47,No,9,2,27.0,Charlie
6,47,No,4,2,33.0,David
5,79,No,7,8,68.0,Eve
2,72,No,4,3,43.0,Alice
8,73,Yes,8,4,67.0,Bob
6,83,Yes,7,2,70.0,Charlie
2,54,Yes,4,9,30.0,David
5,75,No,7,0,63.0,Eve
1,99,Yes,4,3,71.0,Alice
6,96,No,9,0,85.0,Bob
9,74,Yes,7,6,73.0,Charlie
1,85,No,5,6,57.0,David
3,61,No,6,3,35.0,Eve
7,62,Yes,7,4,49.0,Alice
4,79,No,8,9,66.0,Bob
9,84,Yes,6,6,83.0,Charlie
3,94,Yes,6,5,74.0,David
5,90,Yes,4,3,74.0,Eve
3,61,Yes,7,3,39.0,Alice
7,44,Yes,9,1,36.0,Bob
5,70,Yes,6,9,58.0,Charlie
9,52,Yes,8,1,47.0,David
7,67,Yes,9,3,60.0,Eve
2,97,Yes,9,4,74.0,Alice
4,59,No,8,3,42.0,Bob
9,72,No,8,2,68.0,Charlie
2,55,Yes,4,1,32.0,David
9,68,No,5,3,64.0,Eve
5,62,No,7,4,45.0,Alice
2,63,Yes,6,0,39.0,Bob
4,73,Yes,7,0,58.0,Charlie
7,46,No,9,5,36.0,David
8,77,Yes,6,4,71.0,Eve
3,76,Yes,4,3,54.0,Alice
1,43,Yes,7,0,17.0,Bob
4,73,No,4,6,54.0,Charlie
2,81,Yes,4,3,58.0,David
8,61,No,7,2,53.0,Eve
4,44,Yes,7,6,27.0,Alice
2,89,Yes,6,1,65.0,Bob
6,81,No,9,9,75.0,Charlie
6,62,Yes,9,0,52.0,David
4,93,No,8,3,78.0,Eve
6,99,No,4,7,91.0,Alice
2,54,Yes,9,5,33.0,Bob
2,70,Yes,5,8,47.0,Charlie
4,98,No,6,0,78.0,David
8,48,No,6,0,38.0,Eve
7,82,Yes,8,4,70.0,Alice
9,97,Yes,8,5,98.0,Bob
8,92,Yes,4,7,87.0,Charlie
5,64,Yes,6,2,49.0,David
2,64,Yes,6,5,41.0,Eve
5,88,No,5,2,71.0,Alice
8,60,No,4,7,54.0,Bob
9,48,No,4,3,42.0,Charlie
9,94,No,9,1,91.0,David
1,87,Yes,8,8,61.0,Eve
9,77,No,9,9,74.0,Alice
7,61,Yes,4,7,54.0,Bob
9,82,Yes,5,5,81.0,Charlie
8,62,Yes,4,2,52.0,David
1,88,Yes,9,1,65.0,Eve
8,43,Yes,7,3,36.0,Alice
8,68,No,7,3,61.0,Bob
3,54,Yes,5,0,35.0,Charlie
1,40,Yes,8,8,15.0,David
8,93,Yes,6,9,88.0,Eve
3,69,No,4,7,45.0,Alice
3,68,Yes,9,6,49.0,Bob
1,59,Yes,8,5,33.0,Charlie
5,72,Yes,9,2,60.0,David
7,80,No,8,3,71.0,Eve
9,83,Yes,4,1,81.0,Alice
7,75,No,6,6,67.0,Bob
9,99,No,4,1,95.0,Charlie
8,61,Yes,6,9,58.0,David
2,52,No,9,0,29.0,Eve
1,46,No,5,5,21.0,Alice
7,47,Yes,6,3,38.0,Bob
7,67,Yes,8,7,60.0,Charlie
8,84,Yes,5,0,76.0,David
5,82,Yes,9,8,69.0,Eve
3,48,No,7,5,30.0,Alice
8,64,No,5,1,57.0,Bob
6,95,Yes,6,7,81.0,Charlie
3,55,Yes,5,4,36.0,David
1,49,Yes,9,4,25.0,Eve
3,50,No,5,4,27.0,Alice
5,70,Yes,9,6,61.0,Bob
3,51,No,7,6,34.0,Charlie
1,99,No,6,9,76.0,David
5,70,No,8,6,57.0,Eve
7,53,No,5,9,45.0,Alice
7,90,Yes,4,1,76.0,Bob
9,83,Yes,8,7,83.0,Charlie
3,71,Yes,5,0,50.0,David
7,89,No,8,1,81.0,Eve
1,92,No,4,6,66.0,Alice
4,56,Yes,8,3,38.0,Bob
4,74,No,8,9,56.0,Charlie
5,40,No,4,9,25.0,David
7,68,No,4,8,56.0,Eve
7,90,Yes,4,8,82.0,Alice
4,43,Yes,7,2,23.0,Bob
7,62,Yes,9,2,56.0,Charlie
3,67,No,9,8,46.0,David
6,55,Yes,4,9,43.0,Eve
2,51,Yes,9,7,30.0,Alice
9,92,Yes,8,0,92.0,Bob
5,60,No,4,5,45.0,Charlie
6,84,No,5,6,70.0,David
4,56,No,4,7,36.0,Eve
7,79,No,4,1,71.0,Alice
9,52,No,9,0,49.0,Bob
7,91,Yes,6,3,82.0,Charlie
1,97,Yes,8,0,71.0,David
1,71,No,9,1,43.0,Eve
9,76,No,8,2,77.0,Alice
9,89,Yes,5,3,86.0,Bob
4,54,No,7,5,34.0,Charlie
9,51,No,6,7,49.0,David
3,88,No,5,8,69.0,Eve
7,96,No,5,3,84.0,Alice
6,54,No,8,0,41.0,Bob
8,73,Yes,6,4,68.0,Charlie
9,45,Yes,8,4,44.0,David
5,56,No,7,8,41.0,Eve
1,87,No,8,5,58.0,Alice
3,88,Yes,4,4,68.0,Bob
8,96,No,8,9,94.0,Charlie
6,59,Yes,4,9,47.0,David
8,48,No,5,4,40.0,Eve
9,98,Yes,7,7,100.0,Alice
4,44,Yes,9,0,23.0,Bob
1,62,No,4,4,36.0,Charlie
1,72,No,7,0,47.0,David
4,77,Yes,8,6,60.0,Eve
7,95,No,9,6,83.0,Alice
2,53,Yes,8,9,33.0,Bob
3,56,No,5,7,36.0,Charlie
1,96,No,8,6,74.0,David
5,58,No,4,8,42.0,Eve
1,72,Yes,5,7,47.0,Alice
8,40,Yes,7,7,31.0,Bob
1,52,No,5,2,26.0,Charlie
1,85,Yes,7,9,58.0,David
2,66,No,6,3,42.0,Eve
2,45,Yes,4,3,18.0,Alice
6,98,No,4,0,85.0,Bob
7,45,Yes,7,5,36.0,Charlie
5,72,Yes,8,1,58.0,David
1,69,Yes,9,8,45.0,Eve
1,85,Yes,8,0,60.0,Alice
3,74,Yes,6,0,56.0,Bob
2,62,Yes,7,9,42.0,Charlie
5,49,No,6,5,33.0,David
6,90,No,7,0,77.0,Eve
7,58,Yes,6,2,51.0,Alice
4,90,No,7,9,72.0,Bob
7,67,Yes,4,1,57.0,Charlie
8,62,No,6,8,53.0,David
1,43,No,6,4,16.0,Eve
6,59,No,7,5,45.0,Alice
8,58,No,5,1,49.0,Bob
5,81,Yes,5,7,67.0,Charlie
4,66,No,4,5,49.0,David
2,96,No,8,7,73.0,Eve
6,73,No,8,7,65.0,Alice
6,43,Yes,4,0,27.0,Bob
1,95,No,8,6,72.0,Charlie
9,77,Yes,9,1,74.0,David
6,46,Yes,9,7,38.0,Eve
3,87,No,9,1,67.0,Alice
4,46,Yes,9,3,28.0,Bob
4,89,No,7,1,73.0,Charlie
3,91,No,5,6,72.0,David
3,65,No,4,4,42.0,Eve
3,65,No,7,8,47.0,Alice
4,93,No,9,4,77.0,Bob
7,58,No,4,7,49.0,Charlie
4,48,No,5,1,30.0,David
9,59,Yes,8,2,54.0,Eve
1,81,Yes,7,5,56.0,Alice
8,84,No,5,6,75.0,Bob
7,89,No,4,9,78.0,Charlie
2,55,Yes,6,7,32.0,David
8,93,No,7,2,89.0,Eve
1,56,Yes,4,6,29.0,Alice
9,61,Yes,4,7,57.0,Bob
9,52,No,5,9,48.0,Charlie
2,51,No,4,5,27.0,David
7,49,Yes,7,3,38.0,Eve
3,40,Yes,9,5,18.0,Alice
7,71,No,7,8,66.0,Bob
9,69,No,4,2,65.0,Charlie
4,47,Yes,5,1,27.0,David
1,60,Yes,7,4,33.0,Eve
2,61,Yes,6,6,37.0,Alice
1,57,No,9,2,29.0,Bob
5,41,No,8,4,26.0,Charlie
5,87,No,5,3,72.0,David
7,83,Yes,5,6,77.0,Eve
9,48,Yes,8,1,45.0,Alice
9,42,No,8,6,41.0,Bob
3,93,Yes,7,1,73.0,Charlie
3,65,Yes,4,2,43.0,David
3,60,Yes,4,4,39.0,Eve
4,69,Yes,6,6,54.0,Alice
8,67,Yes,9,5,62.0,Bob
6,75,No,4,6,63.0,Charlie
8,65,No,6,5,59.0,David
1,73,No,6,0,46.0,Eve
8,47,No,5,4,42.0,Alice
4,49,No,5,0,30.0,Bob
1,87,Yes,9,6,63.0,Charlie
8,94,Yes,7,3,89.0,David
4,82,Yes,8,4,62.0,Eve
6,89,No,8,0,77.0,Alice
8,93,Yes,9,7,88.0,Bob
4,53,Yes,6,3,35.0,Charlie
3,79,Yes,9,2,60.0,David
9,94,No,8,0,92.0,Eve
3,54,Yes,6,3,38.0,Alice
9,56,Yes,8,2,56.0,Bob
2,92,No,7,7,70.0,Charlie
2,57,No,5,8,35.0,David
2,71,Yes,5,4,47.0,Eve
6,77,No,6,8,66.0,Alice
3,62,Yes,9,0,43.0,Bob
9,85,No,8,6,81.0,Charlie
4,62,Yes,4,6,43.0,David
1,74,Yes,7,5,46.0,Eve
4,78,No,8,3,61.0,Alice
1,54,No,4,8,27.0,Bob
5,92,No,7,2,77.0,Charlie
4,63,No,7,0,43.0,David
8,67,Yes,5,1,60.0,Eve
8,55,No,6,2,48.0,Alice
7,55,Yes,8,1,47.0,Bob
3,79,Yes,7,5,60.0,Charlie
1,78,Yes,8,6,53.0,David
1,45,No,7,4,19.0,Eve
3,41,Yes,9,4,23.0,Alice
6,93,Yes,5,6,81.0,Bob
7,52,No,6,5,41.0,Charlie
6,83,Yes,4,7,71.0,David
6,86,Yes,4,8,75.0,Eve
6,98,Yes,9,1,89.0,Alice
3,48,No,5,1,28.0,Bob
6,73,Yes,7,0,60.0,Charlie
8,56,Yes,5,6,54.0,David
2,66,Yes,6,3,41.0,Eve
5,68,No,4,8,52.0,Alice
1,76,No,8,5,53.0,Bob
1,82,No,4,6,52.0,Charlie
5,61,Yes,6,6,47.0,David
3,90,Yes,7,7,71.0,Eve
4,63,Yes,5,3,42.0,Alice
3,46,Yes,4,2,21.0,Bob
1,73,Yes,4,2,48.0,Charlie
1,87,No,8,9,64.0,David
5,51,Yes,5,7,38.0,Eve
6,62,Yes,8,2,49.0,Alice
3,54,No,8,7,35.0,Bob
9,72,No,7,1,73.0,Charlie
5,96,Yes,4,4,81.0,David
8,52,No,9,4,47.0,Eve
1,62,No,5,6,36.0,Alice
5,77,No,7,4,63.0,Bob
3,71,Yes,9,8,52.0,Charlie
1,84,No,7,2,58.0,David
4,89,Yes,7,8,77.0,Eve
5,74,No,6,0,58.0,Alice
7,40,Yes,6,2,33.0,Bob
1,86,Yes,7,3,67.0,Charlie
3,97,Yes,6,5,76.0,David
2,84,No,5,9,62.0,Eve
9,44,No,4,7,37.0,Alice
6,96,No,9,6,86.0,Bob
3,52,Yes,5,7,37.0,Charlie
8,93,No,4,5,88.0,David
8,44,No,6,5,38.0,Eve
2,99,Yes,9,5,76.0,Alice
6,71,No,5,2,57.0,Bob
7,90,Yes,8,9,82.0,Charlie
2,60,No,7,3,35.0,David
2,63,Yes,4,5,41.0,Eve
1,99,Yes,4,6,75.0,Alice
8,57,No,8,2,51.0,Bob
1,60,Yes,8,3,34.0,Charlie
9,93,No,7,5,92.0,David
6,49,No,6,0,39.0,Eve
7,63,No,5,6,56.0,Alice
7,79,No,5,0,69.0,Bob
3,86,Yes,5,9,69.0,Charlie
2,60,Yes,6,8,40.0,David
9,64,Yes,7,9,63.0,Eve
8,91,No,5,8,86.0,Alice
7,99,No,4,8,89.0,Bob
9,96,Yes,4,3,94.0,Charlie
4,98,Yes,4,1,79.0,David
4,62,No,8,6,44.0,Eve
1,61,No,8,3,33.0,Alice
8,43,No,6,4,36.0,Bob
3,73,Yes,5,0,50.0,Charlie
7,95,No,8,9,94.0,David
2,45,Yes,4,5,22.0,Eve
2,67,No,8,6,44.0,Alice
7,70,Yes,4,2,60.0,Bob
6,74,No,5,9,64.0,Charlie
3,78,Yes,6,1,58.0,David
9,81,Yes,7,9,78.0,Eve
6,62,Yes,7,6,51.0,Alice
6,45,No,4,0,30.0,Bob
1,55,Yes,8,1,29.0,Charlie
4,41,Yes,8,2,22.0,David
6,63,No,4,3,51.0,Eve
6,56,Yes,5,4,45.0,Alice
5,84,Yes,4,3,70.0,Bob
1,40,No,5,9,10.0,Charlie
8,45,Yes,6,2,38.0,David
5,44,No,6,0,30.0,Eve
5,96,Yes,4,6,82.0,Alice
7,84,No,6,9,74.0,Bob
4,99,Yes,8,5,87.0,Charlie
6,94,Yes,5,1,77.0,David
4,89,Yes,7,1,72.0,Eve
3,68,No,7,2,51.0,Alice
7,51,Yes,6,7,40.0,Bob
8,78,Yes,5,7,72.0,Charlie
4,86,No,8,9,68.0,David
2,42,No,7,9,22.0,Eve
3,87,No,8,9,67.0,Alice
1,40,Yes,8,9,18.0,Bob
8,66,Yes,7,7,64.0,Charlie
3,87,Yes,7,6,66.0,David
7,63,No,6,1,50.0,Eve
5,83,No,5,0,68.0,Alice
5,58,Yes,4,5,44.0,Bob
7,98,Yes,5,7,90.0,Charlie
9,47,No,4,0,41.0,David
5,94,No,7,2,83.0,Eve
1,83,No,8,0,57.0,Alice
1,86,Yes,5,9,64.0,Bob
2,41,No,8,8,18.0,Charlie
6,69,No,5,6,62.0,David
9,69,No,9,7,66.0,Eve
8,88,No,5,8,85.0,Alice
5,78,Yes,8,2,62.0,Bob
1,84,No,9,9,62.0,Charlie
7,71,Yes,6,1,62.0,David
5,40,Yes,7,5,26.0,Eve
6,77,No,6,4,66.0,Alice
7,52,No,6,3,43.0,Bob
3,50,Yes,5,5,30.0,Charlie
3,49,No,7,5,25.0,David
5,87,Yes,9,2,77.0,Eve
6,98,No,5,1,88.0,Alice
9,65,Yes,4,8,62.0,Bob
5,95,Yes,5,7,82.0,Charlie
1,94,Yes,9,3,73.0,David
4,59,No,8,5,44.0,Eve
5,56,Yes,5,2,40.0,Alice
5,56,Yes,4,7,39.0,Bob
7,43,No,5,2,34.0,Charlie
4,44,No,9,1,27.0,David
1,99,Yes,4,6,73.0,Eve
5,62,Yes,7,2,46.0,Alice
7,85,No,9,8,78.0,Bob
6,91,Yes,5,2,80.0,Charlie
5,49,No,4,7,33.0,David
4,85,No,9,1,68.0,Eve
2,67,No,7,8,45.0,Alice
4,72,Yes,8,0,56.0,Bob
3,82,No,6,2,58.0,Charlie
1,65,Yes,4,1,37.0,David
8,94,Yes,8,6,88.0,Eve
5,89,No,7,4,75.0,Alice
4,87,No,8,7,70.0,Bob
8,68,No,5,1,62.0,Charlie
7,66,No,6,7,57.0,David
2,57,Yes,4,6,32.0,Eve
1,79,Yes,9,4,53.0,Alice
4,99,No,7,1,82.0,Bob
8,49,Yes,6,9,41.0,Charlie
2,97,No,7,6,75.0,David
3,81,Yes,8,9,63.0,Eve
1,44,Yes,7,3,17.0,Alice
1,49,Yes,7,3,24.0,Bob
3,89,No,8,7,69.0,Charlie
5,60,Yes,8,5,47.0,David
3,63,Yes,6,8,43.0,Eve
1,77,Yes,4,1,48.0,Alice
1,42,Yes,8,4,17.0,Bob
8,79,No,6,5,75.0,Charlie
2,70,Yes,7,7,54.0,David
3,80,No,7,3,59.0,Eve
2,76,No,9,6,56.0,Alice
3,41,Yes,5,6,20.0,Bob
7,41,Yes,8,3,34.0,Charlie
1,78,No,6,0,54.0,David
8,88,No,9,2,83.0,Eve
2,81,No,6,1,59.0,Alice
3,83,Yes,4,2,63.0,Bob
9,73,Yes,9,4,72.0,Charlie
7,81,No,6,0,70.0,David
4,59,No,8,4,41.0,Eve
5,72,No,6,1,54.0,Alice
2,43,Yes,5,3,21.0,Bob
8,84,Yes,7,5,83.0,Charlie
4,83,No,7,8,64.0,David
9,50,Yes,9,9,51.0,Eve
5,81,No,6,5,66.0,Alice
9,86,Yes,6,9,83.0,Bob
4,44,No,6,1,26.0,Charlie
5,64,Yes,6,7,49.0,David
9,88,Yes,5,4,85.0,Eve
8,99,Yes,8,8,95.0,Alice
3,76,Yes,5,9,56.0,Bob
1,73,Yes,5,8,50.0,Charlie
3,48,Yes,5,3,23.0,David
4,45,Yes,7,0,26.0,Eve
2,57,No,5,8,30.0,Alice
1,53,No,6,8,28.0,Bob
7,58,No,5,7,48.0,Charlie
8,53,Yes,6,4,46.0,David
7,79,Yes,9,4,73.0,Eve
5,56,Yes,8,9,45.0,Alice
1,99,No,7,5,76.0,Bob
7,74,No,8,0,71.0,Charlie
7,68,No,9,8,60.0,David
9,81,No,8,4,77.0,Eve
3,56,No,7,6,36.0,Alice
9,98,No,6,7,96.0,Bob
1,82,Yes,9,4,62.0,Charlie
1,47,No,9,2,22.0,David
4,40,Yes,6,5,21.0,Eve
9,84,No,6,6,79.0,Alice
6,92,No,7,3,82.0,Bob
3,75,Yes,5,8,55.0,Charlie
1,46,Yes,4,3,22.0,David
4,85,Yes,5,9,70.0,Eve
9,44,No,5,1,37.0,Alice
3,63,No,8,8,42.0,Bob
9,67,Yes,4,3,64.0,Charlie
7,82,No,6,3,72.0,David
4,56,Yes,5,9,42.0,Eve
3,76,No,7,0,56.0,Alice
5,59,No,5,1,43.0,Bob
5,42,No,6,2,24.0,Charlie
3,76,Yes,5,6,55.0,David
9,65,No,9,8,64.0,Eve
4,54,Yes,8,4,34.0,Alice
5,90,Yes,8,3,78.0,Bob
4,87,Yes,5,1,71.0,Charlie
5,47,Yes,8,6,33.0,David
7,52,Yes,7,5,46.0,Eve
9,87,Yes,4,6,86.0,Alice
7,42,Yes,5,7,34.0,Bob
5,40,Yes,7,8,26.0,Charlie
7,48,Yes,9,9,44.0,David
5,70,No,7,4,53.0,Eve
3,80,Yes,7,4,61.0,Alice
7,93,No,9,3,84.0,Bob
2,65,Yes,6,2,40.0,Charlie
9,56,No,5,6,53.0,David
1,95,No,5,4,67.0,Eve
6,73,No,5,6,58.0,Alice
7,48,No,4,1,41.0,Bob
8,95,No,7,8,89.0,Charlie
9,90,No,5,8,85.0,David
2,52,Yes,8,8,33.0,Eve
2,44,Yes,6,4,20.0,Alice
5,80,Yes,9,9,66.0,Bob
5,52,Yes,9,8,38.0,Charlie
6,40,Yes,4,0,25.0,David
3,64,Yes,9,1,43.0,Eve
8,86,No,6,9,79.0,Alice
1,43,Yes,7,4,16.0,Bob
6,75,No,9,4,67.0,Charlie
4,91,No,9,5,80.0,David
1,49,No,8,7,26.0,Eve
7,67,No,7,0,57.0,Alice
9,96,No,5,9,91.0,Bob
4,45,No,6,8,29.0,Charlie
4,66,Yes,9,3,48.0,David
6,95,No,8,7,84.0,Eve
3,51,No,6,4,33.0,Alice
6,91,Yes,4,0,82.0,Bob
7,87,Yes,8,8,81.0,Charlie
3,42,Yes,4,7,24.0,David
7,85,Yes,9,4,81.0,Eve
3,72,Yes,8,3,54.0,Alice
2,49,Yes,5,7,25.0,Bob
4,70,Yes,6,8,53.0,Charlie
8,54,No,6,6,48.0,David
9,46,Yes,7,3,40.0,Eve
7,75,No,8,6,66.0,Alice
1,53,Yes,8,5,29.0,Bob
3,95,Yes,4,2,73.0,Charlie
9,87,No,8,9,89.0,David
1,53,Yes,6,2,27.0,Eve
9,42,Yes,8,0,40.0,Alice
8,88,Yes,7,4,83.0,Bob
1,92,Yes,7,7,69.0,Charlie
6,85,Yes,6,5,72.0,David
5,89,Yes,6,7,77.0,Eve
6,42,Yes,6,6,32.0,Alice
5,61,No,8,1,49.0,Bob
6,58,Yes,8,7,44.0,Charlie
5,74,No,5,3,57.0,David
5,51,No,9,4,34.0,Eve
4,93,No,9,7,76.0,Alice
3,44,No,4,4,22.0,Bob
3,49,No,8,4,30.0,Charlie
4,80,No,5,5,67.0,David
9,72,No,5,6,71.0,Eve
2,52,Yes,7,8,29.0,Alice
9,74,Yes,8,6,74.0,Bob
1,90,Yes,5,5,67.0,Charlie
1,71,No,7,9,46.0,David
5,50,Yes,4,3,34.0,Eve
6,87,No,7,9,76.0,Alice
6,77,No,4,1,64.0,Bob
3,63,Yes,9,8,46.0,Charlie
7,74,No,9,9,68.0,David
9,58,No,6,4,58.0,Eve
8,45,Yes,6,4,41.0,Alice
6,79,No,7,2,64.0,Bob
8,93,Yes,6,2,84.0,Charlie
5,84,No,8,0,70.0,David
8,83,No,7,4,77.0,Eve
4,81,Yes,5,2,60.0,Alice
8,74,Yes,8,1,65.0,Bob
2,43,Yes,7,8,21.0,Charlie
5,72,No,9,9,60.0,David
9,52,No,4,5,48.0,Eve
4,95,Yes,6,2,77.0,Alice
6,75,Yes,6,6,63.0,Bob
1,93,Yes,6,8,68.0,Charlie
9,82,No,7,8,81.0,David
1,58,No,8,0,29.0,Eve
5,82,Yes,4,1,66.0,Alice
4,51,Yes,6,7,36.0,Bob
3,50,Yes,8,0,29.0,Charlie
6,45,No,5,2,32.0,David
2,51,Yes,9,6,31.0,Eve
3,66,Yes,5,7,45.0,Alice
5,80,Yes,4,4,65.0,Bob
9,64,No,6,1,57.0,Charlie
2,81,No,5,2,58.0,David
8,42,Yes,9,8,38.0,Eve
2,42,No,8,9,22.0,Alice
5,59,Yes,8,6,48.0,Bob
7,67,Yes,5,0,59.0,Charlie
8,62,Yes,6,2,58.0,David
1,87,Yes,9,8,62.0,Eve
6,42,No,4,6,30.0,Alice
1,81,Yes,6,1,56.0,Bob
2,63,Yes,7,5,40.0,Charlie
1,82,No,5,8,59.0,David
5,79,Yes,7,3,65.0,Eve
9,45,No,5,9,43.0,Alice
6,59,Yes,4,1,48.0,Bob
1,50,Yes,6,2,24.0,Charlie
1,71,Yes,9,6,51.0,David
2,99,Yes,6,3,81.0,Eve
9,66,No,5,6,62.0,Alice
3,60,Yes,8,4,43.0,Bob
1,83,No,7,7,63.0,Charlie
5,87,No,9,7,73.0,David
7,89,No,9,4,76.0,Eve
6,52,Yes,6,6,43.0,Alice
1,61,No,6,5,34.0,Bob
5,74,No,5,7,57.0,Charlie
5,86,No,8,8,72.0,David
6,61,Yes,7,4,47.0,Eve
3,67,Yes,8,6,52.0,Alice
5,60,No,9,0,49.0,Bob
7,85,No,8,7,77.0,Charlie
5,57,Yes,5,2,41.0,David
5,70,No,8,0,56.0,Eve
5,99,No,7,5,89.0,Alice
3,85,No,9,7,65.0,Bob
1,76,Yes,4,2,49.0,Charlie
5,60,No,9,0,48.0,David
9,53,No,4,2,47.0,Eve
1,64,Yes,7,4,37.0,Alice
3,66,No,9,7,48.0,Bob
4,79,Yes,9,8,61.0,Charlie
1,99,Yes,9,8,77.0,David
1,99,Yes,9,3,75.0,Eve
8,62,No,5,7,57.0,Alice
2,70,No,6,4,45.0,Bob
8,86,No,9,2,82.0,Charlie
7,99,No,5,4,90.0,David
2,68,No,7,1,42.0,Eve
6,86,No,9,5,74.0,Alice
6,69,No,8,0,60.0,Bob
3,90,No,9,5,73.0,Charlie
2,65,Yes,9,4,40.0,David
1,59,No,4,8,32.0,Eve
6,77,No,8,6,67.0,Alice
5,58,Yes,9,5,46.0,Bob
9,66,No,9,6,65.0,Charlie
1,64,Yes,9,9,42.0,David
7,79,No,5,4,69.0,Eve
5,77,No,7,0,62.0,Alice
5,91,Yes,4,8,75.0,Bob
2,62,Yes,9,4,40.0,Charlie
3,68,No,7,3,43.0,David
7,54,Yes,4,5,42.0,Eve
6,98,No,4,4,84.0,Alice
2,42,No,4,0,15.0,Bob
6,49,No,9,1,39.0,Charlie
2,54,No,5,3,26.0,David
2,95,No,9,7,73.0,Eve
2,55,No,9,4,34.0,Alice
