Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Name
7,99,Yes,9,1,91.0,Alice_0
4,82,No,4,2,65.0,Bob_0
8,51,Yes,7,2,45.0,Charlie_0
5,52,Yes,5,2,36.0,David_0
7,75,No,8,5,66.0,Eve_0
3,78,No,9,6,61.0,Alice_1
7,73,Yes,5,6,63.0,Bob_1
8,45,Yes,4,6,42.0,Charlie_1
5,77,No,8,2,61.0,David_1
4,89,No,4,0,69.0,Eve_1
8,91,No,4,5,84.0,Alice_2
8,79,No,6,2,73.0,Bob_2
3,47,No,9,2,27.0,Charlie_2
6,47,No,4,2,33.0,David_2
5,79,No,7,8,68.0,Eve_2
2,72,No,4,3,43.0,Alice_3
8,73,Yes,8,4,67.0,Bob_3
6,83,Yes,7,2,70.0,Charlie_3
2,54,Yes,4,9,30.0,David_3
5,75,No,7,0,63.0,Eve_3
1,99,Yes,4,3,71.0,Alice_4
6,96,No,9,0,85.0,Bob_4
9,74,Yes,7,6,73.0,Charlie_4
1,85,No,5,6,57.0,David_4
3,61,No,6,3,35.0,Eve_4
7,62,Yes,7,4,49.0,Alice_5
4,79,No,8,9,66.0,Bob_5
9,84,Yes,6,6,83.0,Charlie_5
3,94,Yes,6,5,74.0,David_5
5,90,Yes,4,3,74.0,Eve_5
3,61,Yes,7,3,39.0,Alice_6
7,44,Yes,9,1,36.0,Bob_6
5,70,Yes,6,9,58.0,Charlie_6
9,52,Yes,8,1,47.0,David_6
7,67,Yes,9,3,60.0,Eve_6
2,97,Yes,9,4,74.0,Alice_7
4,59,No,8,3,42.0,Bob_7
9,72,No,8,2,68.0,Charlie_7
2,55,Yes,4,1,32.0,David_7
9,68,No,5,3,64.0,Eve_7
5,62,No,7,4,45.0,Alice_8
2,63,Yes,6,0,39.0,Bob_8
4,73,Yes,7,0,58.0,Charlie_8
7,46,No,9,5,36.0,David_8
8,77,Yes,6,4,71.0,Eve_8
3,76,Yes,4,3,54.0,Alice_9
1,43,Yes,7,0,17.0,Bob_9
4,73,No,4,6,54.0,Charlie_9
2,81,Yes,4,3,58.0,David_9
8,61,No,7,2,53.0,Eve_9
4,44,Yes,7,6,27.0,Alice_10
2,89,Yes,6,1,65.0,Bob_10
6,81,No,9,9,75.0,Charlie_10
6,62,Yes,9,0,52.0,David_10
4,93,No,8,3,78.0,Eve_10
6,99,No,4,7,91.0,Alice_11
2,54,Yes,9,5,33.0,Bob_11
2,70,Yes,5,8,47.0,Charlie_11
4,98,No,6,0,78.0,David_11
8,48,No,6,0,38.0,Eve_11
7,82,Yes,8,4,70.0,Alice_12
9,97,Yes,8,5,98.0,Bob_12
8,92,Yes,4,7,87.0,Charlie_12
5,64,Yes,6,2,49.0,David_12
2,64,Yes,6,5,41.0,Eve_12
5,88,No,5,2,71.0,Alice_13
8,60,No,4,7,54.0,Bob_13
9,48,No,4,3,42.0,Charlie_13
9,94,No,9,1,91.0,David_13
1,87,Yes,8,8,61.0,Eve_13
9,77,No,9,9,74.0,Alice_14
7,61,Yes,4,7,54.0,Bob_14
9,82,Yes,5,5,81.0,Charlie_14
